C,epsilon,mae_avg,mse_avg,rmse_avg
0.1,0.016681005372000592,0.2743884542511095,0.19670346589164173,0.438844128472307
0.1,0.05994842503189409,0.2749105590241876,0.19705421016311825,0.4391748836500845
0.1,0.21544346900318845,0.2755607476057457,0.19563393801497847,0.4378671721758159
0.1,0.7742636826811278,0.36094206447895605,0.24616632801372101,0.49333284820409185
0.1,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.1,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.46415888336127775,0.0001,0.2563755260468762,0.1651228939639982,0.4020129998342261
0.46415888336127775,0.00035938136638046257,0.2563640368022817,0.16511405904208354,0.40200321759403257
0.46415888336127775,0.001291549665014884,0.25635205419021895,0.16510991729133334,0.40200545429285367
0.46415888336127775,0.004641588833612782,0.25635994296434783,0.165120917447387,0.40204908965428193
0.46415888336127775,0.016681005372000592,0.2564909960710139,0.16522036759564926,0.40227991707205896
0.46415888336127775,0.05994842503189409,0.255257608694258,0.16441969303494544,0.4013669582589167
0.46415888336127775,0.21544346900318845,0.2545079783782042,0.16357651756686312,0.40045734257831456
0.46415888336127775,0.7742636826811278,0.3510509153764048,0.22888978130955945,0.4752249451427878
0.46415888336127775,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
0.46415888336127775,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
2.154434690031882,0.0001,0.2560418634130325,0.15469334857362652,0.39053597582664606
2.154434690031882,0.00035938136638046257,0.2560160520192515,0.1546789806643623,0.39051417346376316
2.154434690031882,0.001291549665014884,0.2559482050416784,0.15461440459296444,0.3904291404930843
2.154434690031882,0.004641588833612782,0.2557172622768334,0.15440657753637704,0.39015080804654306
2.154434690031882,0.016681005372000592,0.2545629597407275,0.15371874981741743,0.3892067895883902
2.154434690031882,0.05994842503189409,0.2515710071187732,0.15183510159097963,0.3866183816121679
2.154434690031882,0.21544346900318845,0.24486399309690143,0.14938641044132264,0.38292230908152336
2.154434690031882,0.7742636826811278,0.32285452772187573,0.200710814794194,0.4446938865040164
2.154434690031882,2.782559402207126,0.9901408450704204,1.1036478873239393,1.0503138363563784
2.154434690031882,10.0,0.9901408450704204,1.1036478873239393,1.0503138363563784
10.0,0.0001,0.27076924953404735,0.16207726442351927,0.3996868512624816
10.0,0.00035938136638046257,0.27074114804402905,0.16206098763529247,0.3996642667774784
10.0,0.001291549665014884,0.2706145393109331,0.16196440310968999,0.399541846150684
